 7.335389  21.98222  3.53 " 55Del Gem"
 7.280500 -67.95722  3.98 "   Del Vol"
 7.428778  27.79806  3.79 " 60Iot Gem"
 7.401583 -29.30306  2.45 " 31Eta CMa"
 7.452500   8.28944  2.90 "  3Bet CMi"
 7.487167 -43.30139  3.25 "   Sig Pup"
 7.576667  31.88861  2.88 " 66Alp Gem"
 7.576667  31.88833  1.98 " 66Alp Gem"
 7.655028   5.22500  0.38 " 10Alp CMi"
 7.687444  -9.55111  3.93 " 26Alp Mon"
 7.740778  24.39806  3.57 " 77Kap Gem"
 7.755250  28.02611  1.14 " 78Bet Gem"
 7.730139 -28.95472  3.96 "  3    Pup"
 7.754250 -37.96861  3.61 "HR3017"
 7.697000 -72.60611  3.95 "   Zet Vol"
 7.821583 -24.85972  3.34 "  7Xi  Pup"
 7.870278 -40.57583  3.73 "HR3080"
 7.946306 -52.98222  3.47 "   Chi Car"
 8.059750 -40.00333  2.25 "   Zet Pup"
 8.125722 -24.30417  2.81 " 15Rho Pup"
 8.158889 -47.33667  1.78 "   Gam2Vel"
 8.275250   9.18556  3.52 " 17Bet Cnc"
 8.375222 -59.50972  1.86 "   Eps Car"
 8.427667  -3.90639  3.90 "HR3314"
 8.504417  60.71806  3.36 "  1Omi UMa"
 8.428944 -66.13694  3.77 "   Bet Vol"
 8.668389 -35.30833  3.97 "   Bet Pyx"
 8.677111 -46.64889  3.84 "HR3445"
 8.671556 -52.92194  3.62 "HR3447"
 8.744750  18.15417  3.94 " 47Del Cnc"
 8.726528 -33.18639  3.68 "   Alp Pyx"
 8.779611   6.41889  3.38 " 11Eps Hya"
 8.745056 -54.70833  1.96 "   Del Vel"
 8.767139 -46.04167  3.91 "HR3487"
 8.923222   5.94556  3.11 " 16Zet Hya"
 8.986778  48.04167  3.14 "  9Iot UMa"
 8.917444 -60.64472  3.84 "HR3571"
 9.010667  41.78278  3.97 "HR3579"
 9.060417  47.15667  3.60 " 12Kap UMa"
 9.069250 -47.09778  3.75 "HR3614"
 9.040778 -66.39611  4.00 "   Alp Vol"
 9.133278 -43.43250  2.21 "   Lam Vel"
 9.182778 -58.96694  3.44 "HR3659"
 9.187944 -62.31722  3.97 "HR3663"
 9.239417   2.31417  3.88 " 22The Hya"
 9.220000 -69.71722  1.68 "   Bet Car"
 9.314083  36.80250  3.82 " 38    Lyn"
 9.284833 -59.27528  2.25 "   Iot Car"
 9.350917  34.39250  3.13 " 40Alp Lyn"
 9.368556 -55.01083  2.50 "   Kap Vel"
 9.459778  -8.65861  1.98 " 30Alp Hya"
 9.525472  63.06194  3.67 " 23    UMa"
 9.547611  51.67722  3.17 " 25The UMa"
 9.511667 -40.46667  3.60 "   Psi Vel"
 9.520361 -57.03444  3.13 "HR3803"
 9.664278  -1.14278  3.91 " 35Iot Hya"
 9.685833   9.89222  3.52 " 14Omi Leo"
 9.764194  23.77417  2.98 " 17Eps Leo"
 9.754111 -62.50778  3.69 "HR3884"
 9.849833  59.03861  3.80 " 29Ups UMa"
 9.785028 -65.07194  3.01 "   Ups Car"
 9.879389  26.00694  3.88 " 24Mu  Leo"
 9.947722 -54.56778  3.54 "   Phi Vel"
10.122222  16.76278  3.52 " 30Eta Leo"
10.139528  11.96722  1.35 " 32Alp Leo"
10.176472 -12.35417  3.61 " 41Lam Hya"
10.245611 -42.12194  3.85 "HR4023"
10.278167  23.41722  3.44 " 36Zet Leo"
10.284944  42.91444  3.45 " 33Lam UMa"
10.228944 -70.03806  3.32 "   Ome Car"
10.284722 -61.33222  3.40 "HR4050"
10.332861  19.84167  2.61 " 41Gam1Leo"
10.332944  19.84056  3.80 " 41Gam2Leo"
10.372139  41.49944  3.05 " 34Mu  UMa"
10.434833 -16.83639  3.81 " 42Mu  Hya"
10.406583 -74.03167  4.00 "HR4102"
10.464639 -58.73944  3.82 "HR4114"
10.546861   9.30667  3.85 " 47Rho Leo"
10.533722 -61.68528  3.32 "HR4140"
